product,screen_size,year,url
macbook,12,2015,https://techcrunch.com/wp-content/uploads/2015/04/macbook-front.jpg?w=730&crop=1
macbook,12,2016,https://cnet3.cbsistatic.com/img/w1eCN8WZ-8dujQWgg57SABUrE9A=/1200x675/2016/04/19/9102f487-6b02-4987-bfd7-0268c91b53ea/apple-macbook-2016-22.jpg
macbook,12,2017,https://i.pcmag.com/imagery/reviews/005x4wlhEjDj4CRKQQuVVet-10.fit_scale.size_1028x578.v_1569472269.jpg
macbook air,11,2010,https://images.anandtech.com/reviews/mac/macbookair2011/DSC_4301.jpg
macbook air,13,2010,https://images.anandtech.com/reviews/mac/macbookair2011/DSC_4301.jpg
macbook air,11,2011,https://fastcomputerrepairs.com.au/wp-content/uploads/2019/09/macbook-11-8.jpg
macbook air,13,2011,https://fastcomputerrepairs.com.au/wp-content/uploads/2019/09/macbook-11-8.jpg
macbook air,11,2012,https://cnet1.cbsistatic.com/img/_oEYCT4qAnidd22TwVOQ-ctHtQY=/1200x675/2012/06/14/783f0a6f-bb76-11e2-8a8e-0291187978f3/MacBook_Air_13-inch_35330106_12.jpg
macbook air,13,2012,https://cnet1.cbsistatic.com/img/_oEYCT4qAnidd22TwVOQ-ctHtQY=/1200x675/2012/06/14/783f0a6f-bb76-11e2-8a8e-0291187978f3/MacBook_Air_13-inch_35330106_12.jpg
macbook air,11,2013,https://images.anandtech.com/doci/7085/DSC_0976_678x452.jpg
macbook air,13,2013,https://images.anandtech.com/doci/7085/DSC_0976_678x452.jpg
macbook air,11,2014,https://ksassets.timeincuk.net/wp/uploads/sites/54/2014/05/IMG-0092-1-1.jpg
macbook air,13,2014,https://ksassets.timeincuk.net/wp/uploads/sites/54/2014/05/IMG-0092-1-1.jpg
macbook air,11,2015,https://i.pcmag.com/imagery/reviews/025GQFzhMiBKUqeRWEheThp-6.fit_scale.size_1028x578.v_1569481443.jpg
macbook air,13,2015,https://cnet2.cbsistatic.com/img/ajvbHHC5YGYoPgpiTCMagICG9Ws=/868x488/2015/05/06/1503bb41-3bf4-412a-8e7a-a94c084b140d/apple-macbook-air-2015-02.jpg
macbook air,13,2017,https://cdn.mos.cms.futurecdn.net/r75W7xKkPwuFG6gvxjL26o-1200-80.jpg
macbook air,13,2018,https://photos5.appleinsider.com/gallery/28366-43968-MacBook-Air-2018-Space-Gray-xl.jpg
macbook air,13,2019,https://photos5.appleinsider.com/gallery/32096-54639-MacBook-Air-in-hand-xl.jpg
macbook pro,13,2010,https://img.audiofanzine.com/images/u/product/normal/apple-macbook-pro-13-inch-2010-186619.jpg
macbook pro,15,2010,https://media.karousell.com/media/photos/products/2017/09/22/macbook_pro_mid2010_15_inch_1506080081_18549d32.jpg
macbook pro,17,2010,https://bizweb.dktcdn.net/100/046/882/files/macbook-pro-a1297-17-inch-mid-2010-core-i7-620m-2-66-ghz-ram-8gb-hdd-500gb-moi-99-percentage.png?v=1487514010476
macbook pro,13,2011,https://img.letgo.com/images/26/e0/16/60/26e01660d6d863ed0d36a823256acb31.jpg?impolicy=img_600
macbook pro,15,2011,https://cdn.vox-cdn.com/assets/1116717/macbookpro.jpg
macbook pro,17,2011,https://icdn5.digitaltrends.com/image/digitaltrends/macbook-pro-17-e3-500x500.jpg
macbook pro,13,2012,https://o.aolcdn.com/images/dims?resize=600%2C500&quality=100&image_uri=http%3A%2F%2Fwww.blogcdn.com%2Fwww.engadget.com%2Fmedia%2F2012%2F07%2Fdsc06420-1343668026.jpg&client=amp-blogside-v2&signature=34b992d675afb9eff0d6e6b8f55f3ca712510776
macbook pro,15,2012,https://www.slashgear.com/wp-content/uploads/2012/06/new-macbook-pro-2012-13-SlashGear.jpg
macbook pro,13,2013,https://cdn.pocket-lint.com/r/s/970x/assets/images/124979-laptops-review-apple-macbook-pro-13-inch-with-retina-display-late-2013-review-image1-ApX0h6kf5K-jpg.webp
macbook pro,15,2013,https://cdn.arstechnica.net/wp-content/uploads/2013/10/IMG_7831.jpg
macbook pro,13,2014,https://img.macg.co/2014/8/macgpic-1407850357-12252246876440-sc-op.jpg
macbook pro,15,2014,https://i.pcmag.com/imagery/reviews/07Eh3i2zfw2FzMXoBsZifq0-7.fit_scale.size_2698x1517.v_1569478978.jpg
macbook pro,13,2015,https://cdn.pocket-lint.com/r/s/970x/assets/images/133294-laptops-review-macbook-pro-13-inch-with-retina-display-early-2015-review-image2-YnKibLvHum-jpg.webp
macbook pro,15,2015,https://www.mobiletechreview.com/notebooks/image/15RetinaMBP2015_big.jpg
macbook pro,13,2016,https://cnet2.cbsistatic.com/img/YlrSImde08YblDP-yV18tQQEowg=/940x0/2016/10/27/04f41e92-e592-4f8e-854c-c79a60397ff0/apple-macbook-pro-13-inch-2016-1892-045.jpg
macbook pro,15,2016,https://cnet2.cbsistatic.com/img/MlbZyW31gSyvaj45r8DHt5UDkt8=/1200x675/2017/01/13/153c3d5b-57ac-4c4b-8d15-28d7d80ead15/macbook-pro-15-inch-2017-touchbar-01.jpg
macbook pro,13,2017,https://www.macworld.co.uk/cmsdata/reviews/3660144/macbook_pro_201715.jpg
macbook pro,15,2017,https://sm.pcmag.com/t/pcmag_au/review/a/apple-macb/apple-macbook-pro-15-inch-2017_2wd7.1024.jpg
macbook pro,13,2018,https://ksassets.timeincuk.net/wp/uploads/sites/54/2018/08/Apple-MacBook-Pro-2018-review-01-1024x768.jpg
macbook pro,15,2018,https://cnet2.cbsistatic.com/img/DrtH0eyWjENlwwxCd0yPy8ZNbd8=/756x567/2018/07/13/a5812873-5d1e-466d-8a8e-cdb550b5a6d0/24-apple-macbook-pro-15-inch-2018.jpg
macbook pro,13,2019,https://cdn.mos.cms.futurecdn.net/7JDEwLHEdM2BsrKu2o573G-1200-80.jpg
macbook pro,15,2019,https://cdn.mos.cms.futurecdn.net/Ndk92dyNCRX2iQP6xc8g9B-1200-80.jpg
macbook pro,16,2019,https://images.idgesg.net/images/article/2018/07/dsc01444-2-100764610-large.jpg